display_name,player_name,position_group,position
Aldrick Robinson,Aldrick Robinson,WR,WR
Andre Holmes,Andre Holmes,WR,WR
Andrew Hawkins,Andrew Hawkins,WR,WR
Chris Hogan,Chris Hogan,WR,WR
Chris Matthews,Chris Matthews,WR,WR
Denarius Moore,Denarius Moore,WR,WR
Dontrelle Inman,Dontrelle Inman,WR,WR
Doug Baldwin,Doug Baldwin,WR,WR
Dwayne Harris,Dwayne Harris,WR,WR
Greg Little,Greg Little,WR,WR
Jeremy Kerley,Jeremy Kerley,WR,WR
Julio Jones,Julio Jones,WR,WR
Kamar Aiken,Kamar Aiken,WR,WR
Randall Cobb,Randall Cobb,WR,WR
Torrey Smith,Torrey Smith,WR,WR
Alshon Jeffery,Alshon Jeffery,WR,WR
Brian Quick,Brian Quick,WR,WR
Cole Beasley,Cole Beasley,WR,WR
Deonte Thompson,Deonte Thompson,WR,WR
DeVier Posey,DeVier Posey,WR,WR
Jarius Wright,Jarius Wright,WR,WR
Jermaine Kearse,Jermaine Kearse,WR,WR
Josh Bellamy,Josh Bellamy,WR,WR
Josh Gordon,Josh Gordon,WR,WR
Kendall Wright,Kendall Wright,WR,WR
Keshawn Martin,Keshawn Martin,WR,WR
Michael Floyd,Michael Floyd,WR,WR
Rishard Matthews,Rishard Matthews,WR,WR
Rod Streater,Rod Streater,WR,WR
Rueben Randle,Rueben Randle,WR,WR
T.Y. Hilton,T.Y. Hilton,WR,WR
Travis Benjamin,Travis Benjamin,WR,WR
Trevor Graham,Trevor Graham,WR,WR
Aaron Dobson,Aaron Dobson,WR,WR
Adam Thielen,Adam Thielen,WR,WR
Brice Butler,Brice Butler,WR,WR
DeAndre Hopkins,DeAndre Hopkins,WR,WR
Jaron Brown,Jaron Brown,WR,WR
Josh Boyce,Josh Boyce,WR,WR
Justin Hunter,Justin Hunter,WR,WR
Keenan Allen,Keenan Allen,WR,WR
Kenbrell Thompkins,Kenbrell Thompkins,WR,WR
Kenny Stills,Kenny Stills,WR,WR
Markus Wheaton,Markus Wheaton,WR,WR
Marlon Brown,Marlon Brown,WR,WR
Marquess Wilson,Marquess Wilson,WR,WR
Marquise Goodwin,Marquise Goodwin,WR,WR
Robert Woods,Robert Woods,WR,WR
Russell Shepard,Russell Shepard,WR,WR
Tavon Austin,Tavon Austin,WR,WR
Terrance Williams,Terrance Williams,WR,WR
Albert Wilson,Albert Wilson,WR,WR
Allen Hurns,Allen Hurns,WR,WR
Brandin Cooks,Brandin Cooks,WR,WR
Brandon Coleman,Brandon Coleman,WR,WR
Bruce Ellington,Bruce Ellington,WR,WR
Cody Latimer,Cody Latimer,WR,WR
Davante Adams,Davante Adams,WR,WR
De'Anthony Thomas,De'Anthony Thomas,WR,WR
Diontae Spencer,Diontae Spencer,WR,WR
Donte Moncrief,Donte Moncrief,WR,WR
Jared Abbrederis,Jared Abbrederis,WR,WR
Jarvis Landry,Jarvis Landry,WR,WR
Jeff Janis,Jeff Janis,WR,WR
John Brown,John Brown,WR,WR
Jordan Matthews,Jordan Matthews,WR,WR
Josh Huff,Josh Huff,WR,WR
Kelvin Benjamin,Kelvin Benjamin,WR,WR
Marqise Lee,Marqise Lee,WR,WR
Martavis Bryant,Martavis Bryant,WR,WR
Michael Campanaro,Michael Campanaro,WR,WR
Mike Evans,Mike Evans,WR,WR
Quincy Enunwa,Quincy Enunwa,WR,WR
Ryan Grant,Ryan Grant,WR,WR
Sammy Watkins,Sammy Watkins,WR,WR
Seth Roberts,Seth Roberts,WR,WR
Taylor Gabriel,Taylor Gabriel,WR,WR
Adam Humphries,Adam Humphries,WR,WR
Amari Cooper,Amari Cooper,WR,WR
Breshad Perriman,Breshad Perriman,WR,WR
Cameron Meredith,Cameron Meredith,WR,WR
Chris Conley,Chris Conley,WR,WR
Damiere Byrd,Damiere Byrd,WR,WR
Darius Jennings,Darius Jennings,WR,WR
DeAndre Carter,DeAndre Carter,WR,WR
DeAndre Smelter,DeAndre Smelter,WR,WR
DeVante Parker,DeVante Parker,WR,WR
Devin Smith,Devin Smith,WR,WR
Dorial Green-Beckham,Dorial Green-Beckham,WR,WR
Eli Rogers,Eli Rogers,WR,WR
Geremy Davis,Geremy Davis,WR,WR
J.J. Nelson,J.J. Nelson,WR,WR
Jaelen Strong,Jaelen Strong,WR,WR
Jake Kumerow,Jake Kumerow,WR,WR
Jamison Crowder,Jamison Crowder,WR,WR
Jordan Taylor,Jordan Taylor,WR,WR
Justin Hardy,Justin Hardy,WR,WR
Kevin White,Kevin White,WR,WR
Nelson Agholor,Nelson Agholor,WR,WR
Rashad Greene,Rashad Greene,WR,WR
Sammie Coates,Sammie Coates,WR,WR
Stefon Diggs,Stefon Diggs,WR,WR
Tyler Lockett,Tyler Lockett,WR,WR
Tyrell Williams,Tyrell Williams,WR,WR
Alex Erickson,Alex Erickson,WR,WR
Braxton Miller,Braxton Miller,WR,WR
Charone Peake,Charone Peake,WR,WR
Chester Rogers,Chester Rogers,WR,WR
Chris Moore,Chris Moore,WR,WR
Cody Core,Cody Core,WR,WR
Corey Coleman,Corey Coleman,WR,WR
Demarcus Robinson,Demarcus Robinson,WR,WR
Geronimo Allison,Geronimo Allison,WR,WR
Jalin Marshall,Jalin Marshall,WR,WR
Josh Doctson,Josh Doctson,WR,WR
Kalif Raymond,Kalif Raymond,WR,WR
Laquon Treadwell,Laquon Treadwell,WR,WR
Leonte Carroo,Leonte Carroo,WR,WR
Malcolm Mitchell,Malcolm Mitchell,WR,WR
Marcus Johnson,Marcus Johnson,WR,WR
Marvin Hall,Marvin Hall,WR,WR
Maurice Harris,Maurice Harris,WR,WR
Michael Thomas,Michael Thomas,WR,WR
Pharoh Cooper,Pharoh Cooper,WR,WR
Rashard Higgins,Rashard Higgins,WR,WR
Ricardo Louis,Ricardo Louis,WR,WR
Roger Lewis,Roger Lewis,WR,WR
Sterling Shepard,Sterling Shepard,WR,WR
Tajae Sharpe,Tajae Sharpe,WR,WR
Tyler Boyd,Tyler Boyd,WR,WR
Tyreek Hill,Tyreek Hill,WR,WR
Wendall Williams,Wendall Williams,WR,WR
Amara Darboh,Amara Darboh,WR,WR
Andre Patton,Andre Patton,WR,WR
ArDarius Stewart,ArDarius Stewart,WR,WR
Artavis Scott,Artavis Scott,WR,WR
Austin Carr,Austin Carr,WR,WR
Bobo Wilson,Bobo Wilson,WR,WR
Carlos Henderson,Carlos Henderson,WR,WR
Chad Williams,Chad Williams,WR,WR
Chris Godwin,Chris Godwin,WR,WR
Cooper Kupp,Cooper Kupp,WR,WR
Corey Davis,Corey Davis,WR,WR
Curtis Samuel,Curtis Samuel,WR,WR
David Moore,David Moore,WR,WR
Dede Westbrook,Dede Westbrook,WR,WR
Greg Ward,Greg Ward,WR,WR
Isaiah Ford,Isaiah Ford,WR,WR
Isaiah McKenzie,Isaiah McKenzie,WR,WR
Jamal Agnew,Jamal Agnew,WR,WR
John Ross,John Ross,WR,WR
Josh Malone,Josh Malone,WR,WR
Josh Reynolds,Josh Reynolds,WR,WR
JuJu Smith-Schuster,JuJu Smith-Schuster,WR,WR
Kendrick Bourne,Kendrick Bourne,WR,WR
Kenny Golladay,Kenny Golladay,WR,WR
Keon Hatcher,Keon Hatcher,WR,WR
Mack Hollins,Mack Hollins,WR,WR
Marcus Kemp,Marcus Kemp,WR,WR
Noah Brown,Noah Brown,WR,WR
Rodney Adams,Rodney Adams,WR,WR
Ryan Switzer,Ryan Switzer,WR,WR
Taywan Taylor,Taywan Taylor,WR,WR
Tim Patrick,Tim Patrick,WR,WR
Trent Taylor,Trent Taylor,WR,WR
Zach Pascal,Zach Pascal,WR,WR
Zay Jones,Zay Jones,WR,WR
Allen Lazard,Allen Lazard,WR,WR
Antonio Callaway,Antonio Callaway,WR,WR
Auden Tate,Auden Tate,WR,WR
Brandon Powell,Brandon Powell,WR,WR
Brandon Zylstra,Brandon Zylstra,WR,WR
Braxton Berrios,Braxton Berrios,WR,WR
Byron Pringle,Byron Pringle,WR,WR
Calvin Ridley,Calvin Ridley,WR,WR
Cam Sims,Cam Sims,WR,WR
Cameron Batson,Cameron Batson,WR,WR
Chad Beebe,Chad Beebe,WR,WR
Christian Blake,Christian Blake,WR,WR
Christian Kirk,Christian Kirk,WR,WR
Courtland Sutton,Courtland Sutton,WR,WR
DaeSean Hamilton,DaeSean Hamilton,WR,WR
Damion Ratley,Damion Ratley,WR,WR
Dante Pettis,Dante Pettis,WR,WR
Daurice Fountain,Daurice Fountain,WR,WR
Deon Cain,Deon Cain,WR,WR
Deontay Burnett,Deontay Burnett,WR,WR
Derrick Willies,Derrick Willies,WR,WR
Equanimeous St. Brown,Equanimeous St. Brown,WR,WR
J'Mon Moore,J'Mon Moore,WR,WR
Jaleel Scott,Jaleel Scott,WR,WR
James Washington,James Washington,WR,WR
Javon Wims,Javon Wims,WR,WR
Justin Watson,Justin Watson,WR,WR
Keith Kirkwood,Keith Kirkwood,WR,WR
Keke Coutee,Keke Coutee,WR,WR
KhaDarel Hodge,KhaDarel Hodge,WR,WR
Malik Turner,Malik Turner,WR,WR
Marcell Ateman,Marcell Ateman,WR,WR
Marquez Valdes-Scantling,Marquez Valdes-Scantling,WR,WR
Michael Gallup,Michael Gallup,WR,WR
Ray-Ray McCloud,Ray-Ray McCloud,WR,WR
Robert Foster,Robert Foster,WR,WR
Russell Gage,Russell Gage,WR,WR
Tre'Quan Smith,Tre'Quan Smith,WR,WR
Trent Sherfield,Trent Sherfield,WR,WR
Trey Quinn,Trey Quinn,WR,WR
Vyncint Smith,Vyncint Smith,WR,WR
A.J. Brown,A.J. Brown,WR,WR
Andy Isabella,Andy Isabella,WR,WR
Antoine Wesley,Antoine Wesley,WR,WR
Ashton Dulin,Ashton Dulin,WR,WR
D.J. Montgomery,D.J. Montgomery,WR,WR
Damion Willis,Damion Willis,WR,WR
Darius Slayton,Darius Slayton,WR,WR
Deebo Samuel,Deebo Samuel,WR,WR
Deonte Harty,Deonte Harty,WR,WR
Diontae Johnson,Diontae Johnson,WR,WR
DK Metcalf,DK Metcalf,WR,WR
Emanuel Hall,Emanuel Hall,WR,WR
Emmanuel Butler,Emmanuel Butler,WR,WR
Greg Dortch,Greg Dortch,WR,WR
Gunner Olszewski,Gunner Olszewski,WR,WR
Hunter Renfrow,Hunter Renfrow,WR,WR
Jakobi Meyers,Jakobi Meyers,WR,WR
Jalen Guyton,Jalen Guyton,WR,WR
Jalen Hurd,Jalen Hurd,WR,WR
Jeff Smith,Jeff Smith,WR,WR
John Ursua,John Ursua,WR,WR
Juwann Winfree,Juwann Winfree,WR,WR
KeeSean Johnson,KeeSean Johnson,WR,WR
Kelvin Harmon,Kelvin Harmon,WR,WR
Lil'Jordan Humphrey,Lil'Jordan Humphrey,WR,WR
Malik Taylor,Malik Taylor,WR,WR
Marcus Green,Marcus Green,WR,WR
Marquise Brown,Marquise Brown,WR,WR
Mecole Hardman,Mecole Hardman,WR,WR
Miles Boykin,Miles Boykin,WR,WR
N'Keal Harry,N'Keal Harry,WR,WR
Nsimba Webster,Nsimba Webster,WR,WR
Olamide Zaccheaus,Olamide Zaccheaus,WR,WR
Parris Campbell,Parris Campbell,WR,WR
Penny Hart,Penny Hart,WR,WR
Preston Williams,Preston Williams,WR,WR
Riley Ridley,Riley Ridley,WR,WR
Terry McLaurin,Terry McLaurin,WR,WR
Tom Kennedy,Tom Kennedy,WR,WR
Travis Fulgham,Travis Fulgham,WR,WR
Trinity Benson,Trinity Benson,WR,WR
Tyron Johnson,Tyron Johnson,WR,WR
Antonio Gandy-Golden,Antonio Gandy-Golden,WR,WR
Brandon Aiyuk,Brandon Aiyuk,WR,WR
Bryan Edwards,Bryan Edwards,WR,WR
CeeDee Lamb,CeeDee Lamb,WR,WR
Chase Claypool,Chase Claypool,WR,WR
Collin Johnson,Collin Johnson,WR,WR
Dan Chisena,Dan Chisena,WR,WR
Darnell Mooney,Darnell Mooney,WR,WR
Denzel Mims,Denzel Mims,WR,WR
Devin Duvernay,Devin Duvernay,WR,WR
Dezmon Patmon,Dezmon Patmon,WR,WR
Donovan Peoples-Jones,Donovan Peoples-Jones,WR,WR
Freddie Swain,Freddie Swain,WR,WR
Isaiah Coulter,Isaiah Coulter,WR,WR
Jalen Reagor,Jalen Reagor,WR,WR
Jauan Jennings,Jauan Jennings,WR,WR
Jerry Jeudy,Jerry Jeudy,WR,WR
Joe Reed,Joe Reed,WR,WR
John Hightower,John Hightower,WR,WR
Justin Jefferson,Justin Jefferson,WR,WR
K.J. Osborn,K.J. Osborn,WR,WR
Kendall Hinton,Kendall Hinton,WR,WR
Kirk Merritt,Kirk Merritt,WR,WR
Kristian Wilkerson,Kristian Wilkerson,WR,WR
Marquez Callaway,Marquez Callaway,WR,WR
Matt Cole,Matt Cole,WR,WR
Nick Westbrook-Ikhine,Nick Westbrook-Ikhine,WR,WR
Quez Watkins,Quez Watkins,WR,WR
Quintez Cephus,Quintez Cephus,WR,WR
Stephen Guidry,Stephen Guidry,WR,WR
Tee Higgins,Tee Higgins,WR,WR
Trishton Jackson,Trishton Jackson,WR,WR
Tyler Johnson,Tyler Johnson,WR,WR
Van Jefferson,Van Jefferson,WR,WR
Amari Rodgers,Amari Rodgers,WR,WR
Amon-Ra St. Brown,Amon-Ra St. Brown,WR,WR
Anthony Schwartz,Anthony Schwartz,WR,WR
Ben Skowronek,Ben Skowronek,WR,WR
Cade Johnson,Cade Johnson,WR,WR
Cornell Powell,Cornell Powell,WR,WR
Dax Milne,Dax Milne,WR,WR
Dazz Newsome,Dazz Newsome,WR,WR
DeVonta Smith,DeVonta Smith,WR,WR
Dez Fitzpatrick,Dez Fitzpatrick,WR,WR
Dyami Brown,Dyami Brown,WR,WR
Elijah Moore,Elijah Moore,WR,WR
Frank Darby,Frank Darby,WR,WR
Ihmir Smith-Marsette,Ihmir Smith-Marsette,WR,WR
Ja'Marr Chase,Ja'Marr Chase,WR,WR
Jaelon Darden,Jaelon Darden,WR,WR
Jaylen Waddle,Jaylen Waddle,WR,WR
Kadarius Toney,Kadarius Toney,WR,WR
Marquez Stevenson,Marquez Stevenson,WR,WR
Mike Strachan,Mike Strachan,WR,WR
Nico Collins,Nico Collins,WR,WR
Racey McMath,Racey McMath,WR,WR
Rashod Bateman,Rashod Bateman,WR,WR
Rondale Moore,Rondale Moore,WR,WR
Sage Surratt,Sage Surratt,WR,WR
Seth Williams,Seth Williams,WR,WR
Shi Smith,Shi Smith,WR,WR
Simi Fehoko,Simi Fehoko,WR,WR
T.J. Vasher,T.J. Vasher,WR,WR
Tutu Atwell,Tutu Atwell,WR,WR
Tylan Wallace,Tylan Wallace,WR,WR
Alec Pierce,Alec Pierce,WR,WR
Bo Melton,Bo Melton,WR,WR
Chris Olave,Chris Olave,WR,WR
Christian Watson,Christian Watson,WR,WR
Danny Gray,Danny Gray,WR,WR
David Bell,David Bell,WR,WR
Dennis Houston,Dennis Houston,WR,WR
Drake London,Drake London,WR,WR
Erik Ezukanma,Erik Ezukanma,WR,WR
Garrett Wilson,Garrett Wilson,WR,WR
George Pickens,George Pickens,WR,WR
Jahan Dotson,Jahan Dotson,WR,WR
Jalen Tolbert,Jalen Tolbert,WR,WR
Jameson Williams,Jameson Williams,WR,WR
Justyn Ross,Justyn Ross,WR,WR
Khalil Shakir,Khalil Shakir,WR,WR
Kyle Philips,Kyle Philips,WR,WR
Montrell Washington,Montrell Washington,WR,WR
Romeo Doubs,Romeo Doubs,WR,WR
Skyy Moore,Skyy Moore,WR,WR
Treylon Burks,Treylon Burks,WR,WR
Tyquan Thornton,Tyquan Thornton,WR,WR
Wan'Dale Robinson,Wan'Dale Robinson,WR,WR
Mike Vick,Michael Vick,QB,QB
Robert Griffin,Robert Griffin III,QB,QB
EJ Manuel,E.J. Manuel,QB,QB
Mitchell Trubisky,Mitch Trubisky,QB,QB
Patrick Mahomes,Patrick Mahomes II,QB,QB
Phillip Walker,PJ Walker,QB,QB
Gardner Minshew,Gardner Minshew II,QB,QB
Beanie Wells,Chris Beanie Wells,RB,RB
Cadillac Williams,Carnell Cadillac Williams,RB,RB
Legedu Naanee,Legedu Naanee,RB,RB
Dexter McCluster,Dexter McCluster,RB,RB
Mark Ingram,Mark Ingram II,RB,RB
Trent Richardson,Trent Richardson,,RB
Benny Cunningham,Benny Cunningham Jr.,RB,RB
Ryan Hewitt,Ryan Hewitt,TE,RB
Melvin Gordon,Melvin Gordon III,RB,RB
Todd Gurley,Todd Gurley II,RB,RB
Duke Johnson,Duke Johnson Jr.,RB,RB
Ty Montgomery,Ty Montgomery,WR,RB
Rob Kelley,Robert Kelley,RB,RB
Wayne Gallman,Wayne Gallman Jr.,RB,RB
Alex Armah,Alex Armah Jr.,RB,RB
Ronald Jones,Ronald Jones II,RB,RB
John Kelly,John Kelly Jr.,RB,RB
Jeffery Wilson,Jeff Wilson Jr.,RB,RB
Darrell Henderson,Darrell Henderson Jr.,RB,RB
Benny Snell,Benny Snell Jr.,RB,RB
Kerrith Whyte,Kerrith Whyte Jr.,RB,RB
,Bruce Anderson III,,RB
Travis Etienne,Travis Etienne Jr.,RB,RB
A.J. Dillon,AJ Dillon,RB,RB
Anthony McFarland,Anthony McFarland Jr.,RB,RB
Tony Jones,Tony Jones Jr.,RB,RB
Larry Rountree,Larry Rountree III,RB,RB
Patrick Taylor,Patrick Taylor Jr.,RB,RB
Jamycal Hasty,JaMycal Hasty,RB,RB
,Pooka Williams Jr.,,RB
Brian Robinson,Brian Robinson Jr.,RB,RB
Demetric Felton,Demetric Felton Jr.,RB,RB
Ken Walker,Ken Walker III,RB,RB
Tre Harbison III,Tre Harbison III,RB,RB
Otis Anderson,Otis Anderson Jr.,RB,RB
Pierre Strong,Pierre Strong Jr.,RB,RB
Timothy Wright,Tim Wright,TE,TE
David Morgan,David Morgan II,TE,TE
Taysom Hill,Taysom Hill,QB,TE
Chris Herndon,Chris Herndon IV,TE,TE
Irv Smith,Irv Smith Jr.,TE,TE
Donald Parham,Donald Parham Jr.,TE,TE
Giovanni Ricci,Giovanni Ricci,TE,TE
Ted Ginn,Ted Ginn Jr.,TE,WR
Terelle Pryor,Terrelle Pryor Sr.,WR,WR
Mohamed Sanu,Mohamed Sanu Sr.,WR,WR
Marvin Jones,Marvin Jones Jr.,WR,WR
Allen Robinson,Allen Robinson II,WR,WR
Odell Beckham,Odell Beckham Jr.,WR,WR
Paul Richardson,Paul Richardson Jr.,WR,WR
T.J. Jones,TJ Jones,WR,WR
Willie Snead,Willie Snead IV,WR,WR
Bennie Fowler,Bennie Fowler III,WR,WR
Devin Funchess,Devin Funchess,TE,WR
Phillip Dorsett,Phillip Dorsett II,WR,WR
William Fuller,William Fuller V,WR,WR
Jakeem Grant,Jakeem Grant Sr.,WR,WR
Robby Anderson,Robbie Anderson,WR,WR
Keelan Cole,Keelan Cole Sr.,WR,WR
Victor Bolden,Victor Bolden Jr.,WR,WR
Cyril Grayson,Cyril Grayson Jr.,WR,WR
Cedrick Wilson,Cedrick Wilson Jr.,WR,WR
D.J. Moore,DJ Moore,WR,WR
D.J. Chark,DJ Chark Jr.,WR,WR
Richie James,Richie James Jr.,WR,WR
Hakeem Butler,Hakeem Butler,TE,WR
J.J. Arcega-Whiteside,J.J. Arcega-Whiteside,TE,WR
,KaVontae Turpin,,WR
Gary Jennings,Gary Jennings Jr.,WR,WR
Stanley Morgan,Stanley Morgan Jr.,WR,WR
,Bisi Johnson,,WR
Scott Miller,Scotty Miller,WR,WR
Jason Moore,Jason Moore Jr.,WR,WR
Steven Sims,Steven Sims Jr.,WR,WR
Henry Ruggs,Henry Ruggs III,WR,WR
Laviska Shenault,Laviska Shenault Jr.,,WR
K.J. Hamler,KJ Hamler,WR,WR
Michael Pittman,Michael Pittman Jr.,WR,WR
K.J. Hill,KJ Hill Jr.,WR,WR
James Proche,James Proche II,WR,WR
Gabe Davis,Gabriel Davis,WR,WR
Lynn Bowden,Lynn Bowden Jr.,WR,WR
Malcolm Perry,Malcolm Perry,RB,WR
,Rysen John,,WR
,Marlon Williams,,WR
D'Wayne Eskridge,Dee Eskridge,WR,WR
Josh Palmer,Joshua Palmer,WR,WR
John Metchie,John Metchie III,WR,WR
Terrace Marshall,Terrace Marshall Jr.,WR,WR
Calvin Austin,Calvin Austin III,WR,WR
Velus Jones,Velus Jones Jr.,WR,WR